iter	Passed	Remaining
418	2601	16027
419	2607	16016
420	2613	16008
421	2619	16002
422	2625	15996
423	2631	15986
424	2637	15978
425	2643	15971
426	2649	15964
427	2655	15957
428	2661	15948
429	2667	15942
430	2673	15935
431	2679	15929
432	2685	15920
433	2692	15917
434	2698	15914
435	2705	15908
436	2712	15908
437	2718	15900
438	2724	15892
439	2730	15884
440	2736	15881
441	2743	15878
442	2750	15874
443	2757	15871
444	2763	15865
445	2769	15858
446	2775	15852
447	2781	15843
448	2788	15840
449	2794	15834
450	2800	15828
451	2806	15822
452	2812	15815
453	2818	15808
454	2824	15800
455	2831	15796
456	2837	15791
457	2843	15784
458	2850	15777
459	2856	15770
460	2863	15770
461	2869	15762
462	2876	15759
463	2882	15754
464	2888	15748
465	2894	15741
466	2901	15736
467	2907	15729
468	2914	15727
469	2920	15721
470	2927	15717
471	2932	15706
472	2939	15703
473	2945	15698
474	2952	15694
475	2958	15686
476	2965	15683
477	2971	15675
478	2977	15670
479	2984	15666
480	2990	15659
481	2996	15654
482	3003	15649
483	3009	15643
484	3015	15639
485	3022	15632
486	3028	15627
487	3034	15622
488	3041	15619
489	3047	15612
490	3054	15610
491	3060	15601
492	3067	15598
493	3073	15592
494	3079	15583
495	3085	15575
496	3090	15566
497	3097	15560
498	3103	15554
499	3109	15549
500	3115	15541
501	3122	15537
502	3128	15532
503	3135	15527
504	3141	15518
505	3148	15516
506	3154	15513
507	3161	15509
508	3167	15501
509	3174	15496
510	3180	15489
511	3185	15481
512	3191	15473
513	3197	15465
514	3203	15456
515	3208	15447
516	3215	15443
517	3222	15439
518	3228	15434
519	3235	15429
520	3241	15422
521	3247	15417
522	3253	15410
523	3259	15402
524	3265	15393
525	3271	15388
526	3278	15383
527	3284	15378
528	3291	15375
529	3297	15368
530	3304	15365
531	3310	15357
532	3316	15349
533	3322	15343
534	3329	15339
535	3335	15331
536	3341	15324
537	3347	15316
538	3353	15309
539	3359	15303
540	3365	15297
541	3372	15294
542	3378	15288
543	3384	15280
544	3391	15275
545	3397	15268
546	3403	15262
547	3410	15258
548	3416	15251
549	3422	15245
550	3428	15239
551	3435	15234
552	3441	15229
553	3447	15222
554	3454	15216
555	3461	15213
556	3467	15209
557	3473	15201
558	3479	15195
559	3485	15185
560	3492	15183
561	3497	15174
562	3503	15164
563	3509	15159
564	3515	15151
565	3522	15147
566	3529	15143
567	3535	15138
568	3542	15132
569	3548	15127
570	3554	15120
571	3560	15113
572	3566	15105
573	3573	15101
574	3580	15099
575	3586	15091
576	3592	15084
577	3598	15079
578	3605	15074
579	3611	15067
580	3618	15065
581	3624	15057
582	3629	15048
583	3635	15041
584	3642	15037
585	3649	15033
586	3656	15030
587	3662	15024
588	3668	15016
589	3674	15008
590	3680	15002
591	3686	14996
592	3693	14991
593	3699	14986
594	3706	14980
595	3712	14973
596	3718	14967
597	3725	14962
598	3731	14958
599	3738	14953
600	3744	14945
601	3750	14940
602	3757	14935
603	3764	14931
604	3770	14924
605	3776	14919
606	3782	14912
607	3788	14905
608	3795	14899
609	3801	14893
610	3807	14889
611	3814	14884
612	3820	14876
613	3826	14868
614	3832	14862
615	3838	14856
616	3845	14850
617	3851	14844
618	3857	14837
619	3863	14830
620	3869	14824
621	3876	14818
622	3881	14810
623	3888	14805
624	3894	14800
625	3901	14795
626	3908	14791
627	3914	14784
628	3920	14778
629	3927	14773
630	3933	14769
631	3939	14761
632	3945	14754
633	3952	14749
634	3957	14741
635	3964	14734
636	3970	14728
637	3976	14721
638	3982	14715
639	3988	14709
640	3995	14704
641	4002	14699
642	4008	14694
643	4014	14687
644	4020	14679
645	4027	14674
646	4033	14668
647	4039	14661
648	4045	14656
649	4051	14648
650	4057	14641
651	4064	14636
652	4071	14632
653	4076	14624
654	4083	14620
655	4089	14613
656	4095	14605
657	4101	14597
658	4107	14590
659	4113	14583
660	4119	14576
661	4126	14574
662	4132	14567
663	4138	14560
664	4144	14553
665	4150	14545
666	4156	14539
667	4162	14532
668	4168	14524
669	4174	14517
670	4180	14511
671	4186	14504
672	4193	14498
673	4199	14491
674	4205	14484
675	4211	14479
676	4217	14472
677	4224	14468
678	4231	14463
679	4237	14456
680	4243	14451
681	4250	14446
682	4256	14440
683	4263	14436
684	4270	14433
685	4277	14427
686	4283	14423
687	4289	14415
688	4295	14409
689	4301	14401
690	4308	14395
691	4314	14389
692	4320	14383
693	4327	14378
694	4332	14370
695	4338	14362
696	4344	14354
697	4350	14347
698	4356	14342
699	4362	14333
700	4368	14326
701	4374	14320
702	4381	14314
703	4388	14311
704	4394	14304
705	4400	14297
706	4405	14288
707	4411	14281
708	4417	14275
709	4423	14268
710	4429	14261
711	4436	14255
712	4442	14249
713	4448	14243
714	4454	14237
715	4461	14230
716	4467	14224
717	4473	14218
718	4480	14214
719	4486	14206
720	4493	14201
721	4498	14194
722	4505	14188
723	4512	14184
724	4519	14180
725	4525	14174
726	4531	14168
727	4537	14160
728	4543	14154
729	4550	14150
730	4557	14145
731	4563	14139
732	4570	14134
733	4576	14129
734	4582	14123
735	4588	14116
736	4594	14107
737	4600	14100
738	4606	14094
739	4612	14086
740	4618	14080
741	4624	14073
742	4631	14067
743	4637	14061
744	4643	14056
745	4650	14050
746	4656	14045
747	4663	14040
748	4669	14034
749	4675	14027
750	4682	14023
751	4689	14017
752	4695	14012
753	4701	14005
754	4708	14000
755	4714	13994
756	4721	13988
757	4727	13982
758	4735	13980
759	4741	13975
760	4747	13968
761	4754	13962
762	4761	13959
763	4767	13952
764	4773	13946
765	4780	13941
766	4787	13938
767	4793	13932
768	4799	13924
769	4807	13921
770	4814	13919
771	4821	13913
772	4827	13906
