iter	RMSE
0	0.1396478508
1	0.1376906583
2	0.1356804729
3	0.1338150977
4	0.131978751
5	0.1301865921
6	0.1283341351
7	0.1264684654
8	0.1246806765
9	0.1228884026
10	0.1211819524
11	0.1195124753
12	0.1178534827
13	0.1162821466
14	0.1146446755
15	0.1131532911
16	0.1116793278
17	0.1102084736
18	0.1087011717
19	0.1072225176
20	0.1057042815
21	0.1042459434
22	0.1028076687
23	0.1015487413
24	0.1002169363
25	0.09883084459
26	0.09752707462
27	0.09623942076
28	0.09496957926
29	0.09372866979
30	0.09246185944
31	0.0912888796
32	0.09009635588
33	0.08890971645
34	0.08778676983
35	0.08666392522
36	0.08562140451
37	0.08459124294
38	0.08350019896
39	0.08247600714
40	0.08139171464
41	0.08045402105
42	0.07949440382
43	0.07854315174
44	0.07761387838
45	0.07667060102
46	0.0757455205
47	0.07481226987
48	0.07390875225
49	0.07301667401
50	0.07215935391
51	0.07131162933
52	0.07051348031
53	0.06967861782
54	0.06885745619
55	0.06810120617
56	0.06732263106
57	0.06655270367
58	0.06580575373
59	0.06506341111
60	0.06433409468
61	0.06366770744
62	0.06299795794
63	0.06236386378
64	0.06169444807
65	0.06105563689
66	0.06042682933
67	0.05978358328
68	0.05914784434
69	0.0585930913
70	0.05806473913
71	0.0574985038
72	0.05694663218
73	0.05638798604
74	0.05585412919
75	0.05531159709
76	0.0547990165
77	0.05427619248
78	0.05378021651
79	0.05326979574
80	0.05277750749
81	0.05231735526
82	0.05184836522
83	0.05138797344
84	0.0509552392
85	0.05049339926
86	0.05006112434
87	0.04963214222
88	0.04922614196
89	0.048851546
90	0.04844943192
91	0.0480494726
92	0.04765384094
93	0.04727755178
94	0.04691416422
95	0.04655402771
96	0.04624495977
97	0.04589889536
98	0.04557182756
99	0.04522392492
100	0.04491344612
101	0.04461577914
102	0.04430282561
103	0.04399133908
104	0.04369930293
105	0.04341237749
106	0.04314144971
107	0.04285769845
108	0.04259125991
109	0.04233388514
110	0.04206696466
111	0.04182653875
112	0.04161022367
113	0.04137535161
114	0.04111737418
115	0.04088464871
116	0.04066526459
117	0.04044515936
118	0.04022785748
119	0.04000607772
120	0.03980580458
121	0.03957476039
122	0.0393512539
123	0.03914817483
124	0.03896240673
125	0.03875017799
126	0.03857190151
127	0.03840315318
128	0.0382279324
129	0.0380440774
130	0.03787879809
131	0.03769674239
132	0.03753119947
133	0.03737828254
134	0.0372450144
135	0.03709620498
136	0.03698005023
137	0.03685074658
138	0.03670066644
139	0.03655697529
140	0.03643576869
141	0.03630252675
142	0.03617413529
143	0.03607244034
144	0.03591609487
145	0.03578361804
146	0.035684964
147	0.035580004
148	0.03547870619
149	0.03538641347
150	0.03526995964
151	0.03518258196
152	0.03506741591
153	0.03495982336
154	0.03484357305
155	0.03475414897
156	0.03464550422
157	0.0345624772
158	0.03447758426
159	0.03439199384
160	0.0343064803
161	0.03423994105
162	0.03417061473
163	0.03409472897
164	0.03402543187
165	0.03393992619
166	0.03385785762
167	0.03380035472
168	0.03370687228
169	0.03364393327
170	0.03355627958
171	0.03347263885
172	0.03341313905
173	0.03334155002
174	0.03328173237
175	0.03322526129
176	0.03316050772
177	0.03310387307
178	0.03304348314
179	0.03297244643
180	0.03291232949
181	0.03285942815
182	0.03279165737
183	0.03274554268
184	0.0326911045
185	0.03264923032
186	0.03259161489
187	0.03254819082
188	0.03248046841
189	0.03243813354
190	0.03238355838
191	0.03234037429
192	0.03228977881
193	0.03222968066
194	0.03218842041
195	0.03214878559
196	0.03210145186
197	0.03205623602
198	0.03202646696
199	0.03199669482
200	0.03195955073
201	0.03189737242
202	0.03184835858
203	0.03181093563
204	0.03176876194
205	0.03173941727
206	0.03169580775
207	0.03166281678
208	0.03162330602
209	0.03159836877
210	0.03155178221
211	0.03151860875
212	0.03149029259
213	0.03146466231
214	0.03140777597
215	0.03138761209
216	0.03134363699
217	0.031312432
218	0.03128862665
219	0.03124091086
220	0.03120250315
221	0.03117370908
222	0.03113778152
223	0.03111110878
224	0.03107467962
225	0.03105643257
226	0.03102329786
227	0.03100644442
228	0.03098449045
229	0.03095964395
230	0.03093627051
231	0.03089899547
232	0.03086765387
233	0.03082706556
234	0.03080435442
235	0.03077920957
236	0.03076073157
237	0.03073345356
238	0.03070476274
239	0.03068414848
240	0.03065661258
241	0.03062858612
242	0.03059007699
243	0.0305574007
244	0.03053485259
245	0.03051946801
246	0.03050686096
247	0.0304870969
248	0.03045397384
249	0.03043881122
250	0.03042522398
251	0.03041093041
252	0.03039242736
253	0.03037783898
254	0.03034760113
255	0.0303358109
256	0.03031868288
257	0.03029588563
258	0.03028019768
259	0.03026053128
260	0.03023324261
261	0.03020266027
262	0.03019240045
263	0.03017493736
264	0.03015412051
265	0.03013738192
266	0.03012709989
267	0.03011134722
268	0.03009559353
269	0.03007058619
270	0.03005372447
271	0.03003105825
272	0.03001123292
273	0.02999950622
274	0.02997298588
275	0.02995996219
276	0.02993937859
277	0.02992287953
278	0.02990412716
279	0.0298953344
280	0.02987981034
281	0.02986593675
282	0.0298418065
283	0.02982626288
284	0.02980874043
285	0.0297866921
286	0.02978047069
287	0.02976039511
288	0.02974719292
289	0.02972942905
290	0.02971638113
291	0.02969352475
292	0.02968406005
293	0.02966223796
294	0.02965000822
295	0.02963818802
296	0.02962974701
297	0.02960721395
298	0.02959761438
299	0.02958990981
300	0.02957132581
301	0.02955905639
302	0.0295559395
303	0.02953626813
304	0.02952485215
305	0.02951347481
306	0.02949669032
307	0.02948529589
308	0.02946881526
309	0.0294617593
310	0.02945238661
311	0.0294444161
312	0.02943590322
313	0.02942640962
314	0.02941798289
315	0.02940292527
316	0.02939064078
317	0.02937045893
318	0.02934915154
319	0.02933957936
320	0.02933647014
321	0.02933032971
322	0.02931856502
323	0.02931266168
324	0.02930417619
325	0.02929438303
326	0.02926841583
327	0.02926145081
328	0.02925417216
329	0.02924830591
330	0.02922931019
331	0.0292188621
332	0.02920254395
333	0.02919191641
334	0.0291733242
335	0.02916325031
336	0.02915662842
337	0.02914675553
338	0.02913718688
339	0.02912519682
340	0.02911884984
341	0.02910763983
342	0.02909077171
343	0.02908306275
344	0.02907464315
345	0.02906025958
346	0.02904994122
347	0.02904379005
348	0.02903970534
